Designator,Mid X,Mid Y,Rotation,Layer
BT1,45.5,-45.0,0.0,top
BUZZER2,29.3,-9.5,180.0,top
C1,52.25,-25.25,180.0,top
C10,8.025,-22.83,180.0,top
C11,26.75,-23.5,0.0,top
C12,23.75,-30.35,270.0,top
C13,22.25,-13.975,90.0,top
C14,9.25,-19.25,180.0,top
C15,8.5,-27.75,180.0,top
C16,15.25,-13.525,90.0,top
C17,16.75,-14.25,90.0,top
C18,8.0,-21.0,180.0,top
C19,8.75,-25.5,180.0,top
C20,12.75,-30.75,270.0,top
C21,26.0,-27.0,0.0,top
C22,26.5,-25.25,0.0,top
C23,26.5,-21.75,0.0,top
C24,26.0,-20.0,0.0,top
C27,25.75,-3.0,180.0,top
C3,10.5,-7.5,180.0,top
C31,34.0,-31.725,90.0,top
C32,44.475,-26.2,180.0,top
C33,59.025,-29.5,180.0,top
C34,56.0,-30.5,270.0,top
C35,59.025,-27.75,180.0,top
C36,59.025,-26.0,180.0,top
C37,74.5,-26.25,270.0,top
C38,81.18,-2.75,0.0,top
C39,72.265475,-3.188525,90.0,top
C4,26.75,-18.0,180.0,top
C40,46.479456,-30.429867,270.0,top
C41,48.0,-30.425,270.0,top
C5,27.75,-15.475,90.0,top
C6,21.5,-17.25,180.0,top
C65,54.7875,-21.75,180.0,top
C7,20.791567,-33.25,180.0,top
C71,32.275,-25.725,270.0,top
C71C1,52.25,-27.25,0.0,top
C8,14.5,-30.75,90.0,top
C9,29.0,-2.25,270.0,top
D5,19.25,-10.0,0.0,top
FLASH1,8.89875,-12.615,270.0,top
J1,2.5,-41.75,0.0,top
J3,2.25,-25.31,0.0,top
J4,56.990794,-13.701052,90.0,top
J5,69.5,-6.96,180.0,top
J6,65.860127,-6.92,0.0,top
L1,24.75,-14.5,270.0,top
L2,74.513606,-29.187708,270.0,top
LED4,47.998957,-2.164706,0.0,top
LED5,53.748957,-2.164706,0.0,top
LED6,54.5,-5.75,0.0,top
LED7,48.575,-5.75,0.0,top
Q7,52.95,-31.25,0.0,top
R10,74.68,-3.8,180.0,top
R11,46.075,-27.95,0.0,top
R12,39.0,-27.95,90.0,top
R16,36.5,-32.475,180.0,top
R17,59.025,-31.25,180.0,top
R18,76.25,-24.0,90.0,top
R19,77.93,-3.8,0.0,top
R20,71.0,-15.75,90.0,top
R21,51.5,-5.75,180.0,top
R22,57.425,-5.75,180.0,top
R23,42.75,-5.15,270.0,top
R24,56.748957,-2.164706,180.0,top
R25,36.025,-27.3,90.0,top
R26,34.275,-25.725,270.0,top
R27,33.5,-8.75,90.0,top
R28,50.2,-30.025,270.0,top
R29,50.748957,-2.164706,180.0,top
R3,3.0,-9.75,90.0,top
R32,24.425,-8.0,0.0,top
R33,13.75,-7.5,0.0,top
R34,20.0,-14.5,270.0,top
R35,18.5,-14.5,90.0,top
R6,23.0,-19.0,0.0,top
R7,20.25,-30.75,90.0,top
R8,31.5,-4.75,180.0,top
R9,41.3,-26.2,0.0,top
RP2350,17.5,-23.63,90.0,top
SW1,42.0,-2.756,180.0,top
SW2,32.85,-2.25,0.0,top
SW3,11.0,-2.5,0.0,top
U1,42.25,-29.7,90.0,top
U12,49.9,-21.75,0.0,top
U4,31.25,-31.225,180.0,top
U5,80.52,-29.708211,180.0,top
U6,77.78,-11.52,270.0,top
USB1,19.25,-3.72,180.0,top
X1,17.5,-31.75,270.0,top
